FECHA,CAMPO_OFICIAL,CAMPO_SIH,UBICACION,CUENCA,CATEGORIA,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
1/1/2010,Ahuatepec,AHUATEPEC,Terrestre,Tampico-Misantla,1P,65.05738,19.517214,3.657826,2.77324,4.769973,0,0.274136,3.174909
1/1/2010,Ahuatepec,AHUATEPEC,Terrestre,Tampico-Misantla,2P,2554.049469,766.214841,278.670787,193.622291,458.609016,0,26.356766,305.251597
1/1/2010,Ahuatepec,AHUATEPEC,Terrestre,Tampico-Misantla,3P,4232.374642,1269.712393,380.292393,260.620091,645.311783,0,37.08678,429.521544
1/1/2010,Akal,AKAL,Aguas someras,Cuencas del Sureste,1P,30556.26775,14724.90518,2282.951595,1994.399116,1216.444217,89.307387,67.787039,683.704162
1/1/2010,Akal,AKAL,Aguas someras,Cuencas del Sureste,2P,30556.26775,14724.90518,3312.074635,2940.984742,1564.395343,114.85283,87.176811,879.270576
1/1/2010,Akal,AKAL,Aguas someras,Cuencas del Sureste,3P,30556.26775,14724.90518,4835.977919,4343.465668,2076.272859,152.433216,115.701474,1166.972045
1/1/2010,Akpul,AKPUL,Aguas someras,Cuencas del Sureste,1P,0,40.859604,6.368376,0,33.121478,0,0,33.121478
1/1/2010,Akpul,AKPUL,Aguas someras,Cuencas del Sureste,2P,0,126.494198,20.471825,0,106.472531,0,0,106.472531
1/1/2010,Akpul,AKPUL,Aguas someras,Cuencas del Sureste,3P,0,273.037383,44.802576,0,233.015068,0,0,233.015068
1/1/2010,Alak,ALAK,Aguas someras,Cuencas del Sureste,1P,0,0,0,0,0,0,0,0
1/1/2010,Alak,ALAK,Aguas someras,Cuencas del Sureste,2P,260.567208,87.778563,41.318505,39.099281,13.139759,0.671064,0.526714,5.312467
1/1/2010,Alak,ALAK,Aguas someras,Cuencas del Sureste,3P,260.567208,87.778563,50.265139,47.536832,16.153981,0.825004,0.647541,6.531131
1/1/2010,Alameda,ALAMEDA,Terrestre,Cuencas del Sureste,1P,0,0,0,0,0,0,0,0
1/1/2010,Alameda,ALAMEDA,Terrestre,Cuencas del Sureste,2P,0,0,0,0,0,0,0,0
1/1/2010,Alameda,ALAMEDA,Terrestre,Cuencas del Sureste,3P,21.807417,21.146486,4.040487,2.21798,9.710193,0,0.076894,9.078806
1/1/2010,Álamo San Isidro,ALAMO SAN ISIDRO,Terrestre,Tampico-Misantla,1P,173.496299,81.050032,0.798423,0.781098,0.11823,0,0.006534,0.056124
1/1/2010,Álamo San Isidro,ALAMO SAN ISIDRO,Terrestre,Tampico-Misantla,2P,173.496299,81.050032,0.798423,0.781098,0.11823,0,0.006534,0.056124
1/1/2010,Álamo San Isidro,ALAMO SAN ISIDRO,Terrestre,Tampico-Misantla,3P,175.738307,82.913047,2.082421,1.89312,1.291804,0,0.071395,0.61322
1/1/2010,Alazán,ALAZAN,Terrestre,Tampico-Misantla,1P,66.315097,39.467147,0.548917,0.548917,0.273296,0,0,0
1/1/2010,Alazán,ALAZAN,Terrestre,Tampico-Misantla,2P,66.315097,39.467147,0.548917,0.548917,0.273296,0,0,0
1/1/2010,Alazán,ALAZAN,Terrestre,Tampico-Misantla,3P,66.315097,39.467147,0.548917,0.548917,0.273296,0,0,0
1/1/2010,Alcaraván,ALCARAVAN,Terrestre,Burgos,1P,0,0.238332,1.00E-06,0,3.00E-06,0,0,3.00E-06
1/1/2010,Alcaraván,ALCARAVAN,Terrestre,Burgos,2P,0,0.238332,1.00E-06,0,3.00E-06,0,0,3.00E-06
1/1/2010,Alcaraván,ALCARAVAN,Terrestre,Burgos,3P,0,0.238332,1.00E-06,0,3.00E-06,0,0,3.00E-06
1/1/2010,Algodonero,ALGODONERO,Terrestre,Burgos,1P,0,1.995571,0.050419,0,0.296493,0,0,0.262226
1/1/2010,Algodonero,ALGODONERO,Terrestre,Burgos,2P,0,1.995571,0.050419,0,0.296493,0,0,0.262226
1/1/2010,Algodonero,ALGODONERO,Terrestre,Burgos,3P,0,52.487189,0.050419,0,0.296493,0,0,0.262226
1/1/2010,Aljibe,ALJIBE,Terrestre,Burgos,1P,0,5.081809,0,0,1.00E-06,0,0,1.00E-06
1/1/2010,Aljibe,ALJIBE,Terrestre,Burgos,2P,0,5.081809,0,0,1.00E-06,0,0,1.00E-06
1/1/2010,Aljibe,ALJIBE,Terrestre,Burgos,3P,0,5.081809,0,0,1.00E-06,0,0,1.00E-06
1/1/2010,Almendro,ALMENDRO,Terrestre,Cuencas del Sureste,1P,0,31.360319,0.605195,0,3.91031,0,0,3.147579
1/1/2010,Almendro,ALMENDRO,Terrestre,Cuencas del Sureste,2P,0,40.121675,1.39836,0,9.035137,0,0,7.272775
1/1/2010,Almendro,ALMENDRO,Terrestre,Cuencas del Sureste,3P,0,40.121675,1.39836,0,9.035137,0,0,7.272775
1/1/2010,Alondra,ALONDRA,Terrestre,Burgos,1P,0,208.78103,3.554041,0,20.8998,0,0,18.484319
1/1/2010,Alondra,ALONDRA,Terrestre,Burgos,2P,0,215.786887,3.987125,0,23.446583,0,0,20.736759
1/1/2010,Alondra,ALONDRA,Terrestre,Burgos,3P,0,249.518792,7.879221,0,46.33434,0,0,40.979278
1/1/2010,Altamira,ALTAMIRA,Terrestre,Tampico-Misantla,1P,103.192476,103.192476,1.019634,1.019634,0.120906,0,0,0
1/1/2010,Altamira,ALTAMIRA,Terrestre,Tampico-Misantla,2P,103.192476,103.192476,4.071545,4.071545,0.462502,0,0,0
1/1/2010,Altamira,ALTAMIRA,Terrestre,Tampico-Misantla,3P,103.192476,103.192476,4.071545,4.071545,0.462502,0,0,0
1/1/2010,Alux,ALUX,Aguas someras,Cuencas del Sureste,1P,172.012379,56.936097,36.562353,34.318,11.353884,2.10E-05,0.793398,7.546206
1/1/2010,Alux,ALUX,Aguas someras,Cuencas del Sureste,2P,245.939749,81.406056,65.497243,61.477,20.337878,3.80E-05,1.42119,13.517297
1/1/2010,Alux,ALUX,Aguas someras,Cuencas del Sureste,3P,263.193141,87.116929,92.530209,86.850982,28.730461,5.40E-05,2.007655,19.095315
1/1/2010,Amatista,AMATISTA,Terrestre,Burgos,1P,0,1.232264,3.00E-06,0,1.40E-05,0,0,1.30E-05
1/1/2010,Amatista,AMATISTA,Terrestre,Burgos,2P,0,1.232264,3.00E-06,0,1.40E-05,0,0,1.30E-05
1/1/2010,Amatista,AMATISTA,Terrestre,Burgos,3P,0,1.232264,3.00E-06,0,1.40E-05,0,0,1.30E-05
1/1/2010,Amatitlán,AMATITLAN,Terrestre,Tampico-Misantla,1P,230.498489,115.249244,6.84238,5.092382,8.737103,0,0.542329,6.281001
1/1/2010,Amatitlán,AMATITLAN,Terrestre,Tampico-Misantla,2P,3184.23589,1592.117945,564.250487,401.147581,814.313373,0,50.546044,585.400385
1/1/2010,Amatitlán,AMATITLAN,Terrestre,Tampico-Misantla,3P,5509.87858,2754.93929,866.106728,601.404185,1321.563335,0,82.032054,950.056466
1/1/2010,Ambos,AMBOS,Terrestre,Burgos,1P,0,5.861026,0.675165,0,3.103442,0.026068,0.08254,2.94662
1/1/2010,Ambos,AMBOS,Terrestre,Burgos,2P,0,5.861026,0.675165,0,3.103442,0.026068,0.08254,2.94662
1/1/2010,Ambos,AMBOS,Terrestre,Burgos,3P,0,14.441676,1.383202,0,6.357984,0.053406,0.169099,6.036704
1/1/2010,Amoca,AMOCA,Aguas someras,Cuencas del Sureste,1P,168.694244,64.595475,27.041981,24.7793,9.459285,0,0.871556,7.235148
1/1/2010,Amoca,AMOCA,Aguas someras,Cuencas del Sureste,2P,199.572207,76.194992,33.485405,30.684,11.711453,0,1.079065,8.95777
1/1/2010,Amoca,AMOCA,Aguas someras,Cuencas del Sureste,3P,433.224636,166.605552,75.842631,69.536,26.365277,0,2.429233,20.166079
1/1/2010,Anáhuac,ANAHUAC,Terrestre,Plataforma Burro-Picachos,1P,0,0,0,0,0,0,0,0
1/1/2010,Anáhuac,ANAHUAC,Terrestre,Plataforma Burro-Picachos,2P,0,0,0,0,0,0,0,0
1/1/2010,Anáhuac,ANAHUAC,Terrestre,Plataforma Burro-Picachos,3P,0,4.39952,0.63018,0,3.277524,0,0,3.277524
1/1/2010,Angostura,ANGOSTURA,Terrestre,Veracruz,1P,302.347921,8.140785,0.567753,0.567753,0.086596,0,0,0
1/1/2010,Angostura,ANGOSTURA,Terrestre,Veracruz,2P,302.347921,8.140785,1.757682,1.757682,0.26787,0,0,0
1/1/2010,Angostura,ANGOSTURA,Terrestre,Veracruz,3P,302.347921,8.140785,1.757682,1.757682,0.26787,0,0,0
1/1/2010,Anona,ANONA,Terrestre,Burgos,1P,0,3.70236,0.418175,0,2.19067,0,0,2.1749
1/1/2010,Anona,ANONA,Terrestre,Burgos,2P,0,17.195088,1.920864,0,10.062719,0,0,9.990282
1/1/2010,Anona,ANONA,Terrestre,Burgos,3P,0,23.048213,2.758868,0,14.452719,0,0,14.348681
1/1/2010,Antiguo,ANTIGUO,Terrestre,Burgos,1P,0,12.343698,0.665823,0,3.915422,0,0,3.462899
1/1/2010,Antiguo,ANTIGUO,Terrestre,Burgos,2P,0,14.812438,0.881324,0,5.182691,0,0,4.583704
1/1/2010,Antiguo,ANTIGUO,Terrestre,Burgos,3P,0,17.281178,1.011441,0,5.947851,0,0,5.260431
1/1/2010,Apértura,APERTURA,Terrestre,Veracruz,1P,0,378.015041,15.168323,0,79.192025,0,0,78.889392
1/1/2010,Apértura,APERTURA,Terrestre,Veracruz,2P,0,378.015041,15.168323,0,79.192025,0,0,78.889392
1/1/2010,Apértura,APERTURA,Terrestre,Veracruz,3P,0,378.015041,15.168323,0,79.192025,0,0,78.889392
1/1/2010,Aquiles,AQUILES,Terrestre,Burgos,1P,0,2.010313,3.00E-06,0,1.60E-05,0,0,1.50E-05
1/1/2010,Aquiles,AQUILES,Terrestre,Burgos,2P,0,2.010313,3.00E-06,0,1.60E-05,0,0,1.50E-05
1/1/2010,Aquiles,AQUILES,Terrestre,Burgos,3P,0,2.010313,3.00E-06,0,1.60E-05,0,0,1.50E-05
1/1/2010,Árabe,ARABE,Terrestre,Burgos,1P,0,24.607724,0.89416,0,4.110071,0.034524,0.109313,3.902382
1/1/2010,Árabe,ARABE,Terrestre,Burgos,2P,0,27.408603,1.497819,0,6.884832,0.057832,0.183111,6.53693
1/1/2010,Árabe,ARABE,Terrestre,Burgos,3P,0,34.55287,1.925958,0,8.852801,0.074363,0.235452,8.405454
1/1/2010,Aragón,ARAGON,Terrestre,Tampico-Misantla,1P,349.870958,118.606255,15.452196,11.71737,20.13939,0,1.157433,13.404841
1/1/2010,Aragón,ARAGON,Terrestre,Tampico-Misantla,2P,2481.633734,841.273836,225.67,157.60089,367.050671,0,21.094807,244.310076
1/1/2010,Aragón,ARAGON,Terrestre,Tampico-Misantla,3P,3350.460871,1135.806235,325.702437,223.550972,550.833757,0,31.657024,366.636674
1/1/2010,Aral,ARAL,Terrestre,Veracruz,1P,0,15.90096,0.922141,0,4.79942,0,0,4.795993
1/1/2010,Aral,ARAL,Terrestre,Veracruz,2P,0,15.90096,0.922141,0,4.79942,0,0,4.795993
1/1/2010,Aral,ARAL,Terrestre,Veracruz,3P,0,15.90096,1.484524,0,7.726425,0,0,7.720908
1/1/2010,Arcabuz,ARCABUZ,Terrestre,Burgos,1P,0,655.612985,15.921931,0,82.138014,0.210597,0.666808,78.245534
1/1/2010,Arcabuz,ARCABUZ,Terrestre,Burgos,2P,0,730.594325,26.38181,0,132.18031,0.496431,1.571837,126.453042
1/1/2010,Arcabuz,ARCABUZ,Terrestre,Burgos,3P,0,785.605951,34.448687,0,172.221155,0.629847,1.994268,165.517388
1/1/2010,Arcos,ARCOS,Terrestre,Burgos,1P,0,749.692981,9.766094,0,57.430237,0,0,50.792773
1/1/2010,Arcos,ARCOS,Terrestre,Burgos,2P,0,878.65434,18.032284,0,106.040178,0,0,93.78465
1/1/2010,Arcos,ARCOS,Terrestre,Burgos,3P,0,956.853932,19.929571,0,117.197313,0,0,103.652306
1/1/2010,Arenque,ARENQUE,Aguas someras,Tampico-Misantla,1P,1169.308757,1306.478454,67.804899,41.692934,122.964102,0,5.665104,106.342698
1/1/2010,Arenque,ARENQUE,Aguas someras,Tampico-Misantla,2P,1196.481925,1333.651622,77.531946,49.911043,130.069856,0,5.992475,112.487948
1/1/2010,Arenque,ARENQUE,Aguas someras,Tampico-Misantla,3P,1310.94266,1466.658987,77.531946,49.911043,130.069856,0,5.992475,112.487948
1/1/2010,Aris,ARIS,Terrestre,Veracruz,1P,0,28.015066,2.774694,0,14.571,0,0,14.430992
1/1/2010,Aris,ARIS,Terrestre,Veracruz,2P,0,28.015066,2.774694,0,14.571,0,0,14.430992
1/1/2010,Aris,ARIS,Terrestre,Veracruz,3P,0,28.015066,2.774694,0,14.571,0,0,14.430992
1/1/2010,Arquimia,ARQUIMIA,Terrestre,Veracruz,1P,0,326.201074,9.322528,0,48.956218,0,0,48.485817
1/1/2010,Arquimia,ARQUIMIA,Terrestre,Veracruz,2P,0,326.201074,9.322528,0,48.956218,0,0,48.485817
1/1/2010,Arquimia,ARQUIMIA,Terrestre,Veracruz,3P,0,326.201074,9.810038,0,51.516321,0,0,51.021321
1/1/2010,Arrecife Medio,ARRECIFE MEDIO,Aguas someras,Tampico-Misantla,1P,2.356834,2.13507,0,0,0,0,0,0
1/1/2010,Arrecife Medio,ARRECIFE MEDIO,Aguas someras,Tampico-Misantla,2P,2.356834,2.13507,0,0,0,0,0,0
1/1/2010,Arrecife Medio,ARRECIFE MEDIO,Aguas someras,Tampico-Misantla,3P,2.356834,2.13507,0,0,0,0,0,0
1/1/2010,Arroyo Blanco,ARROYO BLANCO,Terrestre,Cuencas del Sureste,1P,19.128392,16.3257,0,0,0,0,0,0
1/1/2010,Arroyo Blanco,ARROYO BLANCO,Terrestre,Cuencas del Sureste,2P,19.128392,16.3257,0,0,0,0,0,0
1/1/2010,Arroyo Blanco,ARROYO BLANCO,Terrestre,Cuencas del Sureste,3P,19.128392,16.3257,0,0,0,0,0,0
1/1/2010,Arroyo Prieto,ARROYO PRIETO,Terrestre,Cuencas del Sureste,1P,17.640132,49.04044,0.494937,0.391225,0.763598,0,0.039948,0.331629
1/1/2010,Arroyo Prieto,ARROYO PRIETO,Terrestre,Cuencas del Sureste,2P,17.640132,49.04044,1.851809,1.606036,1.80955,0,0.094668,0.785883
1/1/2010,Arroyo Prieto,ARROYO PRIETO,Terrestre,Cuencas del Sureste,3P,17.640192,49.04044,4.373432,1.778943,19.102416,0,0.999363,8.296133
1/1/2010,Arroyo Viejo,ARROYO VIEJO,Terrestre,Tampico-Misantla,1P,1.699527,0.537594,0,0,0,0,0,0
1/1/2010,Arroyo Viejo,ARROYO VIEJO,Terrestre,Tampico-Misantla,2P,1.699527,0.537594,0,0,0,0,0,0
1/1/2010,Arroyo Viejo,ARROYO VIEJO,Terrestre,Tampico-Misantla,3P,1.699527,0.537594,0,0,0,0,0,0
1/1/2010,Arroyo Zanapa,ARROYO ZANAPA,Terrestre,Cuencas del Sureste,1P,64.036276,173.238566,1.83855,0.893956,3.906,0.041668,0.358087,2.833667
1/1/2010,Arroyo Zanapa,ARROYO ZANAPA,Terrestre,Cuencas del Sureste,2P,64.036276,173.238566,2.53548,1.277073,5.20365,0.055511,0.477051,3.775067
1/1/2010,Arroyo Zanapa,ARROYO ZANAPA,Terrestre,Cuencas del Sureste,3P,64.036276,173.238566,2.53548,1.277073,5.20365,0.055511,0.477051,3.775067
