CAMPO_SIH,CATEGORIA,AÑO,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
ACUATEMPA,1P,2020,101.725835,74.852929
ACUATEMPA,1P,2021,101.724893,74.852235
ACUATEMPA,1P,2022,101.729857,74.855958
ACUATEMPA,1P,2023,101.729857,74.855958
ACUATEMPA,1P,2024,101.729857,74.855958
ACUATEMPA,2P,2010,101.725835,74.853077
ACUATEMPA,2P,2011,101.725835,74.853077
ACUATEMPA,2P,2012,101.725835,74.853077
ACUATEMPA,2P,2013,101.725835,74.853077
ACUATEMPA,2P,2014,101.725835,74.853077
ACUATEMPA,2P,2015,101.725835,74.853077
ACUATEMPA,2P,2016,101.725835,74.852929
ACUATEMPA,2P,2017,101.725835,74.852929
ACUATEMPA,2P,2018,101.72584,74.852929
ACUATEMPA,2P,2019,101.725835,74.852929
ACUATEMPA,2P,2020,101.725835,74.852929
ACUATEMPA,2P,2021,101.724893,74.852235
ACUATEMPA,2P,2022,101.729857,74.855958
ACUATEMPA,2P,2023,101.729857,74.855958
ACUATEMPA,2P,2024,101.729857,74.855958
ACUATEMPA,3P,2010,101.725835,79.184948
ACUATEMPA,3P,2011,101.725835,79.184948
ACUATEMPA,3P,2012,101.725835,79.184948
ACUATEMPA,3P,2013,101.725835,79.184948
ACUATEMPA,3P,2014,101.725835,79.184948
ACUATEMPA,3P,2015,101.725835,79.184948
ACUATEMPA,3P,2016,101.725835,79.184792
ACUATEMPA,3P,2017,101.725835,79.184792
ACUATEMPA,3P,2018,101.72584,79.184792
ACUATEMPA,3P,2019,101.725835,79.184792
ACUATEMPA,3P,2020,101.725835,79.184792
ACUATEMPA,3P,2021,101.724893,79.184058
ACUATEMPA,3P,2022,101.729857,79.188
ACUATEMPA,3P,2023,101.729857,79.188
ACUATEMPA,3P,2024,101.729857,79.188
ACUYO,1P,2010,1.490815,51.048468
ACUYO,1P,2011,1.490815,51.048468
ACUYO,1P,2012,1.490815,51.048468
ACUYO,1P,2013,1.490815,51.048468
ACUYO,1P,2014,1.490815,51.048468
ACUYO,1P,2015,1.490815,51.048468
ACUYO,1P,2016,1.490815,51.048468
ACUYO,1P,2017,1.490815,51.048468
ACUYO,1P,2018,1.490815,7.006829
ACUYO,1P,2019,1.490815,7.006829
ACUYO,1P,2020,1.490815,7.006829
ACUYO,1P,2021,1.490815,7.006829
ACUYO,1P,2022,1.490815,7.006829
ACUYO,1P,2023,1.490827,7.006888
ACUYO,1P,2024,1.490827,7.006888
ACUYO,2P,2010,10.863868,51.048468
ACUYO,2P,2011,1.490815,51.048468
ACUYO,2P,2012,1.490815,51.048468
ACUYO,2P,2013,1.490815,51.048468
ACUYO,2P,2014,1.490815,51.048468
ACUYO,2P,2015,1.490815,51.048468
ACUYO,2P,2016,1.490815,51.048468
ACUYO,2P,2017,1.490815,51.048468
ACUYO,2P,2018,1.490815,7.006829
ACUYO,2P,2019,1.490815,7.006829
ACUYO,2P,2020,1.490815,7.006829
ACUYO,2P,2021,1.490815,7.006829
ACUYO,2P,2022,1.490815,7.006829
ACUYO,2P,2023,1.490827,7.006888
ACUYO,2P,2024,1.490827,7.006888
ACUYO,3P,2010,10.863868,51.048468
ACUYO,3P,2011,1.490815,51.048468
ACUYO,3P,2012,1.490815,51.048468
ACUYO,3P,2013,1.490815,51.048468
ACUYO,3P,2014,1.490815,51.048468
ACUYO,3P,2015,1.490815,51.048468
ACUYO,3P,2016,1.490815,51.048468
ACUYO,3P,2017,1.490815,51.048468
ACUYO,3P,2018,1.490815,7.006829
ACUYO,3P,2019,1.490815,7.006829
ACUYO,3P,2020,1.490815,7.006829
ACUYO,3P,2021,1.490815,7.006829
ACUYO,3P,2022,1.490815,7.006829
ACUYO,3P,2023,1.490827,7.006888
ACUYO,3P,2024,1.490827,7.006888
ADOLFO LOPEZ MATEOS,1P,2010,1.192004,0.200778
ADOLFO LOPEZ MATEOS,1P,2011,1.192004,0.200778
ADOLFO LOPEZ MATEOS,1P,2012,1.192004,0.200778
ADOLFO LOPEZ MATEOS,1P,2013,1.192004,0.200778
ADOLFO LOPEZ MATEOS,1P,2014,1.192004,0.200778
ADOLFO LOPEZ MATEOS,1P,2015,1.192004,0.200778
ADOLFO LOPEZ MATEOS,1P,2016,1.192004,0.200778
ADOLFO LOPEZ MATEOS,1P,2017,1.192004,0.200778
ADOLFO LOPEZ MATEOS,2P,2010,1.192004,0.200778
ADOLFO LOPEZ MATEOS,2P,2011,1.192004,0.200778
ADOLFO LOPEZ MATEOS,2P,2012,1.192004,0.200778
ADOLFO LOPEZ MATEOS,2P,2013,1.192004,0.200778
ADOLFO LOPEZ MATEOS,2P,2014,1.192004,0.200778
ADOLFO LOPEZ MATEOS,2P,2015,1.192004,0.200778
ADOLFO LOPEZ MATEOS,2P,2016,1.192004,0.200778
ADOLFO LOPEZ MATEOS,2P,2017,1.192004,0.200778
ADOLFO LOPEZ MATEOS,3P,2010,1.192004,0.200778
ADOLFO LOPEZ MATEOS,3P,2011,1.192004,0.200778
ADOLFO LOPEZ MATEOS,3P,2012,1.192004,0.200778
ADOLFO LOPEZ MATEOS,3P,2013,1.192004,0.200778
ADOLFO LOPEZ MATEOS,3P,2014,1.192004,0.200778
ADOLFO LOPEZ MATEOS,3P,2015,1.192004,0.200778
ADOLFO LOPEZ MATEOS,3P,2016,1.192004,0.200778
ADOLFO LOPEZ MATEOS,3P,2017,1.192004,0.200778
AGAMI,1P,2010,0.0,1.037794
AGAMI,1P,2011,0.0,1.037794
AGAMI,1P,2012,0.0,1.037794
AGAMI,1P,2013,0.0,1.037794
AGAMI,1P,2014,0.0,1.037794
AGAMI,1P,2015,0.0,1.037794
AGAMI,1P,2016,0.0,1.037792
AGAMI,1P,2017,0.0,1.037792
AGAMI,1P,2018,0.0,1.037792
AGAMI,1P,2019,0.0,1.037792
AGAMI,1P,2020,0.0,1.037792
AGAMI,1P,2021,0.0,1.037783
AGAMI,1P,2022,0.0,1.037835
AGAMI,1P,2023,0.0,1.037835
AGAMI,2P,2010,0.0,1.037794
AGAMI,2P,2011,0.0,1.037794
AGAMI,2P,2012,0.0,1.037794
AGAMI,2P,2013,0.0,1.037794
AGAMI,2P,2014,0.0,1.037794
AGAMI,2P,2015,0.0,1.037794
AGAMI,2P,2016,0.0,1.037792
AGAMI,2P,2017,0.0,1.037792
AGAMI,2P,2018,0.0,1.037792
AGAMI,2P,2019,0.0,1.037792
AGAMI,2P,2020,0.0,1.037792
AGAMI,2P,2021,0.0,1.037783
AGAMI,2P,2022,0.0,1.037835
AGAMI,2P,2023,0.0,1.037835
AGAMI,3P,2010,0.0,1.037794
AGAMI,3P,2011,0.0,1.037794
AGAMI,3P,2012,0.0,1.037794
AGAMI,3P,2013,0.0,1.037794
AGAMI,3P,2014,0.0,1.037794
AGAMI,3P,2015,0.0,1.037794
AGAMI,3P,2016,0.0,1.037792
AGAMI,3P,2017,0.0,1.037792
AGAMI,3P,2018,0.0,1.037792
AGAMI,3P,2019,0.0,1.037792
AGAMI,3P,2020,0.0,1.037792
AGAMI,3P,2021,0.0,1.037783
AGAMI,3P,2022,0.0,1.037835
AGAMI,3P,2023,0.0,1.037835
AGATA,1P,2010,31.99943,49.748002
AGATA,1P,2011,31.99943,49.748002
AGATA,1P,2012,31.99943,49.748002
AGATA,1P,2013,31.99943,49.748002
AGATA,1P,2014,31.99943,49.748002
AGATA,1P,2015,31.99943,49.748002
AGATA,1P,2016,31.99943,49.748002
AGATA,1P,2017,31.99943,49.748002
AGATA,1P,2018,31.99943,49.748001
AGATA,1P,2019,31.99943,49.748002
AGATA,1P,2020,31.99943,49.748002
AGATA,1P,2021,31.99943,49.748002
AGATA,1P,2022,31.99943,49.748002
AGATA,1P,2023,31.999701,49.748324
AGATA,1P,2024,31.999701,49.748324
AGATA,2P,2010,31.99943,49.748002
AGATA,2P,2011,31.99943,49.748002
AGATA,2P,2012,31.99943,49.748002
AGATA,2P,2013,31.99943,49.748002
AGATA,2P,2014,31.99943,49.748002
AGATA,2P,2015,31.99943,49.748002
AGATA,2P,2016,31.99943,49.748002
AGATA,2P,2017,31.99943,49.748002
AGATA,2P,2018,31.99943,49.748001
AGATA,2P,2019,31.99943,49.748002
AGATA,2P,2020,31.99943,49.748002
AGATA,2P,2021,31.99943,49.748002
AGATA,2P,2022,31.99943,49.748002
AGATA,2P,2023,31.999701,49.748324
AGATA,2P,2024,31.999701,49.748324
AGATA,3P,2010,31.99943,49.748002
AGATA,3P,2011,31.99943,49.748002
AGATA,3P,2012,31.99943,49.748002
AGATA,3P,2013,31.99943,49.748002
AGATA,3P,2014,31.99943,49.748002
AGATA,3P,2015,31.99943,49.748002
AGATA,3P,2016,31.99943,49.748002
AGATA,3P,2017,31.99943,49.748002
AGATA,3P,2018,31.99943,49.748001
AGATA,3P,2019,31.99943,49.748002
AGATA,3P,2020,31.99943,49.748002
AGATA,3P,2021,31.99943,49.748002
AGATA,3P,2022,31.99943,49.748002
AGATA,3P,2023,31.999701,49.748324
AGATA,3P,2024,31.999701,49.748324
AGAVE,1P,2010,254.531655,2298.958885
AGAVE,1P,2011,254.531655,2298.958885
AGAVE,1P,2012,254.531655,2298.958885
AGAVE,1P,2013,254.531655,2298.958885
AGAVE,1P,2014,254.531655,2298.958885
AGAVE,1P,2015,254.531655,2298.958885
AGAVE,1P,2016,254.531655,2298.954333
AGAVE,1P,2017,254.531655,2298.954333
AGAVE,1P,2018,254.531652,2298.954328
AGAVE,1P,2019,254.531655,2298.954333
AGAVE,1P,2020,254.531655,2298.954333
AGAVE,1P,2021,254.529304,2298.933067
AGAVE,1P,2022,254.529298,2298.933046
AGAVE,1P,2023,254.549767,2299.125007
AGAVE,1P,2024,254.549767,2299.125007
AGAVE,2P,2010,258.025212,2301.816201
AGAVE,2P,2011,258.025212,2301.816201
AGAVE,2P,2012,258.025212,2301.816201
AGAVE,2P,2013,258.025212,2301.816201
AGAVE,2P,2014,258.025212,2301.816201
AGAVE,2P,2015,258.025212,2301.816201
AGAVE,2P,2016,254.531655,2298.954333
AGAVE,2P,2017,254.531655,2298.954333
AGAVE,2P,2018,254.531652,2298.954328
AGAVE,2P,2019,254.531655,2298.954333
