CAMPO_SIH,CATEGORIA,AÑO,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
CASTARRICAL,3P,2025,165.0021851316109,101.71316922383822
CASTARRICAL,3P,2026,165.00218513165746,101.71316922570507
CERRO DEL CARBON,3P,2025,48.529055,35.7696
CERRO DEL CARBON,3P,2026,48.529055,35.7696
CERRO NANCHITAL,3P,2025,68.4895859996721,11.536155
CERRO NANCHITAL,3P,2026,68.48958599969166,11.536155
CHAC,3P,2025,618.3333150000634,188.76627099997785
CHAC,3P,2026,618.3333150000635,188.76627099997776
CHAPABIL,3P,2025,1042.6062288683017,115.945188
CHAPABIL,3P,2026,1042.961958391913,115.945188
CHE,3P,2025,16.841733999840805,187.1300089812807
CHE,3P,2026,16.841733999840805,187.130008981281
CHEEK,3P,2025,96.31970192322132,72.81530927100111
CHEEK,3P,2026,96.3198167115847,72.97586589678153
CHIAPAS COPANO,3P,2025,320.2067859742651,2226.7534099261266
CHIAPAS COPANO,3P,2026,320.20678597426405,2226.753409926124
CHINCHORRO,3P,2025,392.2693727896062,453.80596806951047
CHINCHORRO,3P,2026,392.2454154692488,453.7582914789702
CHINTUL,3P,2025,7.885058368621785,89.2031869353651
CHINTUL,3P,2026,7.885058420167712,89.20318693537557
CHUC,3P,2025,2157.2993347648717,2433.0722756764158
CHUC,3P,2026,2162.983463154957,2434.004078497384
CHUHUK,3P,2025,87.04216100002503,117.20026799998033
CHUHUK,3P,2026,87.04216100002508,117.20026799998028
CIBIX,3P,2025,234.8886942082812,241.60609459016666
CIBIX,3P,2026,234.88814288167762,241.60486456868318
CINCO PRESIDENTES,3P,2025,1113.8879991309761,1202.2691249073703
CINCO PRESIDENTES,3P,2026,1119.5490763623386,1209.1557708995233
CITAM,3P,2025,94.59303546428866,41.425825490218045
CITAM,3P,2026,94.59301570213815,41.42581731845571
COAPECHACA,3P,2025,0.34344597848746616,250.9624228967179
COAPECHACA,3P,2026,0.6867669213029552,317.9466889634627
COBRA,3P,2025,25.79090780894044,179.10374799801815
COBRA,3P,2026,25.79090781047829,179.10374799801824
COMOAPA,3P,2025,0.19955994042231318,0.2126439332956167
COMOAPA,3P,2026,0.1885769473265467,0.1704559596757136
CORCOVADO,3P,2025,928.4734584539592,196.262159
CORCOVADO,3P,2026,928.4734570503,196.262159
CORRALILLO,3P,2025,-0.3735451994830328,539.4933614256455
CORRALILLO,3P,2026,-0.00013440184446916748,621.3368258186996
COSTERO,3P,2025,120.39984199613207,899.1338136290499
COSTERO,3P,2026,120.40095680545151,899.1300262535608
COYOL,3P,2025,2750.6428449960276,1253.6336619537856
COYOL,3P,2026,3551.682754689999,1332.2278842454584
COYOTES,3P,2025,18.740084066725785,203.23342080970568
COYOTES,3P,2026,0.0541179546462871,252.80287734413673
COYULA,3P,2025,0.11334296014115353,0.19270161517806628
COYULA,3P,2026,1.2212725752899778e-05,0.38521396608034003
CRATER,3P,2025,30.79066599999276,181.1214959411227
CRATER,3P,2026,30.79066599999362,181.1216587894476
CUITLAHUAC,3P,2025,-0.00025442479044790467,84.185454103045
CUITLAHUAC,3P,2026,-0.00020627758044534158,159.20288996386924
CUNDUACAN,3P,2025,1874.6302588987667,2270.279255017787
CUNDUACAN,3P,2026,1859.6129963441897,2250.12470001155
CUPACHE,3P,2025,5.830198688852155,2.9204979956817763
CUPACHE,3P,2026,5.8301987034091365,10.080962917372855
DOCTUS,3P,2025,537.4890132329031,1668.9387269529175
DOCTUS,3P,2026,537.4890132421478,1686.6297922407462
EBANO CHAPACAO,3P,2025,3104.0083291892242,645.3212075725409
EBANO CHAPACAO,3P,2026,3104.008595442592,645.3198132997235
EDEN JOLOTE,3P,2025,587.7912333090428,1031.1344481509902
EDEN JOLOTE,3P,2026,587.7912287555487,1018.5173219283148
EK,3P,2025,1022.3445728082789,112.15487216567966
EK,3P,2026,1022.3582245382686,112.15506048612637
EL GOLPE,3P,2025,951.5604899318893,629.3953194770103
EL GOLPE,3P,2026,951.5607963976066,629.3952923118632
EL TREINTA,3P,2025,165.10877910767783,241.99553340182172
EL TREINTA,3P,2026,173.95069110889074,246.43687263541545
ESAH,3P,2025,80.17924052239529,88.80450067170193
ESAH,3P,2026,80.17786906154335,88.82778408045354
ESCARBADO,3P,2025,59.366147999953974,153.077251966128
ESCARBADO,3P,2026,59.36614799995397,153.07725196616312
ESCOBAL,3P,2025,1327.1251610920879,507.4934364707598
ESCOBAL,3P,2026,1328.4841499411632,508.14975444205095
ETKAL,3P,2025,26.700499684819423,310.54437883830207
ETKAL,3P,2026,26.70213953153584,310.54437831970216
FENIX,3P,2025,103.79667641500743,345.9893229935369
FENIX,3P,2026,103.79667641299714,345.98932299353675
FURBERO,3P,2025,-469.3359022653585,-508.0130250583079
FURBERO,3P,2026,-80.66509427580166,-165.28441145416576
GALLO,3P,2025,0.2797201327133507,0.0006703772126570584
GALLO,3P,2026,0.5592712628584536,0.0013407488784301608
GASIFERO,3P,2025,120.61287737532659,443.59257830006567
GASIFERO,3P,2026,120.67733162680224,443.598354515747
GAUCHO,3P,2025,45.92261199994782,136.3813579660287
GAUCHO,3P,2026,45.92261199994765,136.38135796504295
GIRALDAS,3P,2025,0.9593446927302693,-5384.686932969025
GIRALDAS,3P,2026,1.9146095075475102,-10768.926401678465
GUARICHO,3P,2025,129.76881608491044,94.97803570719948
GUARICHO,3P,2026,129.76209852757128,94.9732026693739
HALLAZGO,3P,2025,-0.03528324320109988,-0.021971624435419557
HALLAZGO,3P,2026,-0.02846610253158391,-0.01778173244438831
HOK,3P,2025,48.37712593338628,34.40834528868737
HOK,3P,2026,48.39307236807257,34.408585468105535
HOKCHI,3P,2025,753.4767607460515,213.00523627371027
HOKCHI,3P,2026,821.7471875357413,212.30198505210444
HOMOL,3P,2025,412.05710639950274,683.0703853044402
HOMOL,3P,2026,418.3497239706103,683.4672041781849
HORCONES,3P,2025,40.253163524428146,-18.151812099823474
HORCONES,3P,2026,0.028360262324504504,-8.092025357289009
HUEHUETEPEC,3P,2025,5.517269,3.154015
HUEHUETEPEC,3P,2026,5.517269,3.154015
HUMAPA,3P,2025,-1731.365383808813,795.9697101935985
HUMAPA,3P,2026,-710.2818465507049,1060.8406010326307
ICHALKIL,3P,2025,1921.9694438527022,2024.5465267467143
ICHALKIL,3P,2026,2012.3195941961017,2210.8308732517435
IRIDE,3P,2025,1696.2602259653077,1954.1029487003457
IRIDE,3P,2026,1696.262081192819,1954.1111357765326
ITLA,3P,2024,57.28769713061143,21.542871532423778
ITLA,3P,2025,57.28899347571033,21.54335384133256
ITTA,3P,2025,141.15041171836342,95.67124491140751
ITTA,3P,2026,141.38001168988256,95.83237238415857
IXACHI,3P,2025,1505.2816580756835,10830.999357613304
IXACHI,3P,2026,1599.0473552019357,10830.333761490656
IXTAL,3P,2025,1050.5061448442627,1594.498917159037
IXTAL,3P,2026,1040.3284150658285,1594.5046944843725
IXTOC,3P,2025,311.0361652746345,354.59001816709406
IXTOC,3P,2026,318.1922859824379,363.0190283794829
JACINTO,3P,2025,263.425471045919,677.6895399995633
JACINTO,3P,2026,263.4266157503679,677.6895399995624
JILIAPA,3P,2025,133.75490696487097,84.29711904828063
JILIAPA,3P,2026,133.75490666446345,84.29711885863772
JOSE COLOMO,3P,2025,21.635976886034605,2964.875927941656
JOSE COLOMO,3P,2026,21.63597669414104,2964.875926063871
JUJO TECOMINOACAN,3P,2025,3850.924502928915,4721.0178222032555
JUJO TECOMINOACAN,3P,2026,3850.9245096521913,4721.0177859682
JUSPI,3P,2025,40.45667209979895,172.9573790773165
JUSPI,3P,2026,40.39202337262,172.97824991721532
KAB,3P,2025,234.6068431245669,351.52945067475713
KAB,3P,2026,234.6074011113805,351.52917044476163
KACH,3P,2025,586.3498402004154,76.52436190048178
KACH,3P,2026,586.3497171778673,76.52434670687167
KAMBESAH,3P,2025,240.0498851140425,123.08580229514268
KAMBESAH,3P,2026,240.04997615819119,121.51284259840148
KANAAB,3P,2025,90.57845259956312,61.16007565700006
KANAAB,3P,2026,90.32878518158844,61.160131526840516
KASTELAN,3P,2025,614.3381889166312,79.86380167661308
KASTELAN,3P,2026,614.3380590849437,79.86378588374704
KAX,3P,2025,260.46006200002375,586.0611850004274
KAX,3P,2026,260.4600620000238,586.06118500043
KAY,3P,2025,2.4039850822690125,13.372544693783096
KAY,3P,2026,2.4039852172817713,13.372543696148988
KAYAB,3P,2025,2967.130108974012,322.23674979845634
KAYAB,3P,2026,2949.162568380883,321.87170201525817
KIX,3P,2025,114.35929600057577,349.489073000911
KIX,3P,2026,114.35929600048351,349.48907300092134
KOBAN,3P,2025,48.92693950796232,234.5656009866917
KOBAN,3P,2026,48.51023503682408,232.34078511478526
KU,3P,2025,7302.71000949672,3808.54681510905
KU,3P,2026,7467.113288860269,3892.213004829176
KUIL,3P,2025,355.6978603361306,601.4686707383562
KUIL,3P,2026,355.645628903414,599.8833368701615
KUTZ,3P,2025,329.0337880000009,176.03819799999954
KUTZ,3P,2026,329.0337880000009,176.03819799999954
LA CENTRAL,3P,2025,7.121334999980373,33.85579500027684
LA CENTRAL,3P,2026,7.121334999974946,33.855795000276544
LA LAJA,3P,2017,1.7956271091785323,0.881676337855671
LA LAJA,3P,2018,1.7956271091785794,0.8818005067896615
LACAMANGO,3P,2025,118.43740329812039,185.92975050535196
LACAMANGO,3P,2026,118.78688092610656,186.95126559164362
LIMON,3P,2025,433.78895699920554,87.98319800002909
LIMON,3P,2026,433.78895699919235,87.98319800002939
LOBINA,3P,2024,12.104467999999565,5.424251
LOBINA,3P,2025,12.104467999999565,5.424251
LOS SOLDADOS,3P,2025,136.76874399805865,340.26697602615667
LOS SOLDADOS,3P,2026,136.7687439980596,340.2669760261897
LUM,3P,2025,765.6204991558045,104.76207328019312
LUM,3P,2026,765.6221223033289,105.22583571610151
LUNA PALAPA,3P,2025,249.21377433013438,1166.6104098322298
LUNA PALAPA,3P,2026,249.21377432720962,1166.5709405993132
MADREFIL,3P,2025,370.3456002771489,565.1813505297096
MADREFIL,3P,2026,370.12035925855093,564.6417298064216
MAGALLANES TUCAN PAJONAL,3P,2025,1030.6483107484164,616.6458207086339
MAGALLANES TUCAN PAJONAL,3P,2026,1030.6483107484796,616.6457961861846
MAKECH,3P,2025,137.26757614596576,46.12181152377566
MAKECH,3P,2026,137.26754778180626,46.12180246420056
MALOOB,3P,2025,7342.531804658202,2557.609737176572
MALOOB,3P,2026,7342.846600401517,2557.6302955214687
MANIK,3P,2025,101.4911415793756,76.36553773370872
MANIK,3P,2026,100.34598112806658,76.35131128987443
MANIK NW,3P,2025,55.723404313228,63.22963928208149
MANIK NW,3P,2026,59.48727378218308,59.14153096354707
MATA PIONCHE,3P,2025,145.24897889299572,539.6840830086254
MATA PIONCHE,3P,2026,145.24897856075754,539.6840819465244
MAXIMINO,3P,2025,895.8941567384556,2615.7494503457497
MAXIMINO,3P,2026,851.4590949008068,1588.8651748401464
MAY,3P,2025,335.5533456105882,1879.1089159077128
MAY,3P,2026,335.5521494430217,1846.6468587025154
MECAYUCAN,3P,2025,48.366404,434.52060692679413
MECAYUCAN,3P,2026,48.366404,434.5206375911672
MEJILLON,3P,2025,50.08697261609383,135.23455723137002
MEJILLON,3P,2026,50.086972565725766,135.23455709900534
MIAHUAPAN,3P,2025,340.5194553362352,335.66771421155465
MIAHUAPAN,3P,2026,539.9955402741437,577.9437825397218
MIQUETLA,3P,2025,1236.1108185201851,719.9149849039954
MIQUETLA,3P,2026,1456.7124513690121,753.1731346816066
MISON,3P,2025,126.01321212025238,106.81487778307273
MISON,3P,2026,126.01318493229714,106.81485712975925
MIZTON,3P,2025,314.09448690656006,252.52540208092506
MIZTON,3P,2026,308.22688741681156,260.12928721019375
MONTERREY,3P,2025,20.077835000000004,478.1739269962144
MONTERREY,3P,2026,20.077835000000004,478.17392699604346
MULACH,3P,2025,707.7863463466573,272.39206779290157
MULACH,3P,2026,653.8792171309652,259.0046624188429
MUSPAC,3P,2025,163.2150071957879,2720.253298948425
MUSPAC,3P,2026,163.21500719204337,2720.253298948359
NAK,3P,2025,138.67834847207706,566.7109783252727
NAK,3P,2026,138.67838427765017,566.8295957898656
NAVEGANTE,3P,2025,268.6158879124367,812.7314962333201
NAVEGANTE,3P,2026,264.19207649508024,767.2529407774596
NAYADE,3P,2024,85.92462000000023,39.07682400001174
NAYADE,3P,2025,85.92462000000023,39.07682400001175
NEJO,3P,2025,64.19965928766115,1363.2104770798032
NEJO,3P,2026,67.87748189402791,1420.6798117273174
NELASH,3P,2025,79.45311642514038,121.79956632712256
NELASH,3P,2026,79.45314636576276,121.79914403197658
NICAPA,3P,2025,-0.001213175131967767,-0.0030296794929348947
NICAPA,3P,2026,-0.001214028982552995,-0.0030322447209811705
NISPERO,3P,2025,330.08997209360405,572.2315325125118
NISPERO,3P,2026,330.0899721330409,583.0987318751684
NOBILIS,3P,2025,622.4574677528891,830.3350368441365
NOBILIS,3P,2026,600.5543416576162,777.624371439202
NOHOCH,3P,2025,2010.5841525897702,738.3822909249174
NOHOCH,3P,2026,2012.62289126005,738.3822909243687
NUMAN,3P,2025,257.5374002777337,21.63310022189081
NUMAN,3P,2026,257.5374002584356,21.633100221897234
OCH,3P,2025,400.1215424516594,782.490891696623
OCH,3P,2026,405.61902865979647,782.2736314443587
OCTLI,3P,2025,92.7113300035094,67.71726892040496
OCTLI,3P,2026,92.85027568579272,67.83705606924907
OGARRIO,3P,2025,1467.199999926919,1765.299999562993
OGARRIO,3P,2026,1467.1999999236186,1765.2999995398757
ONEL,3P,2025,804.0364816761047,1021.1051606583449
ONEL,3P,2026,797.540373488662,1012.6188750848518
OTATES,3P,2025,213.80240472496396,485.9718108845197
OTATES,3P,2026,213.80240472350135,485.971810884531
OXIACAQUE,3P,2025,1221.033022212337,1340.9491856962852
OXIACAQUE,3P,2026,1221.0333766321353,1340.9498484754645
PACHE,3P,2025,81.05035030570173,201.41011288277565
PACHE,3P,2026,81.05035027787635,201.41371870625701
PAKI,3P,2025,47.557154123785764,39.77889839951593
PAKI,3P,2026,47.55932960921763,39.77889853031715
PALANGRE,3P,2025,83.73831900016636,86.90467718398301
PALANGRE,3P,2026,83.73831900017323,86.90465269086421
PALO BLANCO,3P,2025,1544.9060751033128,425.0905447050669
PALO BLANCO,3P,2026,1905.7101540335889,523.5506077109992
PAMORANA,3P,2025,0.857795,104.96320631067096
PAMORANA,3P,2026,0.857795,104.95778857566839
PANAL,3P,2025,7.458814,21.21419399999996
